Expendtiure Description,Amount,Category
,,
Mona food Camp,290,Dine out
Olive green shorts,200,Shopping
Trousers,500,Shopping
Bakers Basket Icecream,756,Dine out
Lonaval trip,922,Travel
Medicines-Relax,337,Medicines
Govind oil,300,Utilities
Book MY Show,1106,Entertainment
Ankur Warikoo course,399,Education
Wifi booster,1189,Shopping
Globe bracelet,100,Shopping
Smart watch,3499,Shopping
Netflix,163,Entertainment
Decathlon,800,Shopping
Ratna Lunch,1281,Dine out
Ganesh bhel,120,Dine out
,,
,,
,,
,,
,,
,,
Total,11842,
,,
,,
INVESTMENT,122000,